Name,Type1,Type2,BST,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Personality,Hardy,Lonely,Adamant,Naughty,Brave,Bold,Docile,Impish,Lax,Relaxed,Modest,Mild,Bashful,Rash,Quiet,Calm,Gentle,Careful,Quirky,Sassy,Timid,Hasty,Jolly,Naive,Serious,,AtkAverage,DefAverage,SpAAverage,SpDAverage,SpAverage,,AtkRank,DefRank,SpARank,SpDAverage,SpAverage
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,Modest,3.0,-3.0,-7.5,-13.4,0.0,3.0,3.7,-4.5,-10.4,3.0,7.5,4.5,4.9,-6.0,7.5,7.5,4.5,4.9,-6.0,7.5,0.0,-3.0,-7.5,-13.4,3.0,,-4.18,-1.04,3.66,3.66,-4.18,,4,3,1,1,4
Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,Modest,3.1,-2.1,-5.2,-9.4,0.0,2.1,3.6,-3.1,-7.3,2.1,5.2,3.1,4.4,-4.2,5.2,5.2,3.1,4.4,-4.2,5.2,0.0,-2.1,-5.2,-9.4,3.1,,-2.71,-0.52,2.76,2.76,-2.71,,4,3,1,1,4
Alomomola,Water, ,470,165,75,80,40,45,65,5,Impish,4.0,-1.1,7.4,6.4,2.1,1.1,4.3,8.5,7.4,3.2,-7.4,-8.5,2.1,-1.1,-5.3,-7.4,-8.5,2.1,-1.1,-5.3,-2.1,-3.2,5.3,4.3,3.5,,3.78,4.89,-4.04,-4.04,1.54,,2,1,4,4,3
Joltik,Bug,Electric,319,50,47,50,57,50,65,5,Timid,3.7,-0.9,-3.1,-0.9,-5.6,0.9,3.9,-2.2,0.0,-4.7,3.1,2.2,4.5,2.2,-2.5,3.1,2.2,4.5,2.2,-2.5,5.6,4.7,2.5,4.7,5.1,,-1.39,-0.41,1.90,1.90,4.53,,5,4,2,2,1
Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,Hasty,4.1,3.6,-4.2,3.6,-6.6,-3.6,3.2,-7.8,0.0,-10.2,4.2,7.8,5.1,7.8,-2.3,4.2,7.8,5.1,7.8,-2.3,6.6,10.2,2.3,10.2,5.7,,0.10,-3.69,4.54,4.54,6.99,,4,5,2,2,1
Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,Relaxed,4.1,-13.4,8.5,-11.8,13.1,13.4,7.5,22.0,1.6,26.6,-8.5,-22.0,2.0,-20.3,4.6,-8.5,-22.0,2.0,-20.3,4.6,-13.1,-26.6,-4.6,-24.9,0.8,,0.10,14.21,-8.85,-8.85,-13.67,,2,1,3,3,5
Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,Relaxed,4.8,-7.6,8.2,-4.5,15.1,7.6,6.7,15.7,3.1,22.7,-8.2,-15.7,2.8,-12.7,7.0,-8.2,-15.7,2.8,-12.7,7.0,-15.1,-22.7,-7.0,-19.6,1.0,,3.21,11.16,-5.38,-5.38,-12.68,,2,1,3,3,5
Klink,Steel, ,300,40,55,70,45,60,30,5,Relaxed,4.6,-5.0,3.3,-1.7,8.3,5.0,5.8,8.3,3.3,13.3,-3.3,-8.3,3.8,-5.0,5.0,-3.3,-8.3,3.8,-5.0,5.0,-8.3,-13.3,-5.0,-10.0,2.5,,1.92,7.17,-1.58,-1.58,-6.83,,2,1,3,3,5
Klang,Steel, ,440,60,80,95,70,85,50,5,Relaxed,4.5,-3.4,2.3,-1.1,6.8,3.4,5.4,5.7,2.3,10.2,-2.3,-5.7,4.0,-3.4,4.5,-2.3,-5.7,4.0,-3.4,4.5,-6.8,-10.2,-4.5,-8.0,2.8,,1.82,5.40,-0.57,-0.57,-5.34,,2,1,3,3,5
Klinklang,Steel, ,520,60,100,115,70,85,90,5,Impish,4.8,-2.9,5.8,2.9,1.9,2.9,5.5,8.7,5.8,4.8,-5.8,-8.7,3.4,-2.9,-3.8,-5.8,-8.7,3.4,-2.9,-3.8,-1.9,-4.8,3.8,1.0,4.3,,2.50,5.53,-3.56,-3.56,0.48,,2,1,4,4,3
Tynamo,Electric, ,275,35,55,40,45,40,60,5,Hasty,5.0,5.5,3.6,5.5,-1.8,-5.5,3.6,-1.8,0.0,-7.3,-3.6,1.8,4.1,1.8,-5.5,-3.6,1.8,4.1,1.8,-5.5,1.8,7.3,5.5,7.3,5.5,,3.55,-2.18,-0.27,-0.27,5.45,,2,5,3,3,1
Eelektrik,Electric, ,405,65,85,70,75,70,40,5,Brave,5.2,3.7,2.5,3.7,11.1,-3.7,4.3,-1.2,0.0,7.4,-2.5,1.2,4.6,1.2,8.6,-2.5,1.2,4.6,1.2,8.6,-11.1,-7.4,-8.6,-7.4,2.5,,5.25,1.36,2.65,2.65,-6.42,,1,4,2,2,5
Eelektross,Electric, ,515,85,115,80,105,80,50,5,Brave,5.6,6.8,1.9,6.8,12.6,-6.8,3.9,-4.9,0.0,5.8,-1.9,4.9,5.1,4.9,10.7,-1.9,4.9,5.1,4.9,10.7,-12.6,-5.8,-10.7,-5.8,2.4,,6.75,-0.39,4.71,4.71,-6.50,,1,4,2,2,5
Elgyem,Psychic, ,335,55,55,55,85,55,30,5,Quiet,4.1,0.0,-9.0,0.0,7.5,0.0,4.1,-9.0,0.0,7.5,9.0,9.0,6.3,9.0,16.4,9.0,9.0,6.3,9.0,16.4,-7.5,-7.5,-16.4,-7.5,2.2,,0.52,0.52,9.93,9.93,-7.31,,3,3,1,1,5
Beheeyem,Psychic, ,485,75,75,75,125,95,40,5,Quiet,3.9,0.0,-10.3,-4.1,7.2,0.0,3.9,-10.3,-4.1,7.2,10.3,10.3,6.4,6.2,17.5,10.3,10.3,6.4,6.2,17.5,-7.2,-7.2,-17.5,-11.3,2.1,,-0.67,-0.67,10.15,10.15,-8.25,,3,3,1,1,5
Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,Quiet,2.7,-9.1,-12.7,-9.1,3.6,9.1,5.0,-3.6,0.0,12.7,12.7,3.6,5.9,3.6,16.4,12.7,3.6,5.9,3.6,16.4,-3.6,-12.7,-16.4,-12.7,1.8,,-4.91,4.64,8.45,8.45,-8.73,,4,3,1,1,5
Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,Modest,2.7,-5.4,-14.9,-5.4,-4.1,5.4,4.1,-9.5,0.0,1.4,14.9,9.5,6.4,9.5,10.8,14.9,9.5,6.4,9.5,10.8,4.1,-1.4,-10.8,-1.4,3.7,,-5.41,0.27,10.20,10.20,-1.15,,5,3,1,1,4
Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,Modest,2.6,-6.7,-17.3,-6.7,-4.8,6.7,4.3,-10.6,0.0,1.9,17.3,10.6,7.0,10.6,12.5,17.3,10.6,7.0,10.6,12.5,4.8,-1.9,-12.5,-1.9,3.8,,-6.59,0.48,11.59,11.59,-1.54,,5,3,1,1,4
Axew,Dragon, ,320,46,87,60,30,40,57,5,Adamant,6.8,8.4,17.8,14.7,9.4,-8.4,4.7,9.4,6.3,0.9,-17.8,-9.4,2.3,-3.1,-8.4,-17.8,-9.4,2.3,-3.1,-8.4,-9.4,-0.9,8.4,5.3,4.5,,11.42,2.56,-7.28,-7.28,1.58,,1,2,4,4,3
Fraxure,Dragon, ,410,66,117,70,40,50,67,5,Adamant,7.1,11.5,18.8,16.3,12.2,-11.5,4.3,7.3,4.9,0.7,-18.8,-7.3,2.4,-2.4,-6.6,-18.8,-7.3,2.4,-2.4,-6.6,-12.2,-0.7,6.6,4.1,4.1,,13.18,1.15,-6.54,-6.54,0.38,,1,2,4,4,3
Haxorus,Dragon, ,540,76,147,90,60,70,97,5,Adamant,6.8,10.6,16.1,14.3,9.3,-10.6,4.2,5.6,3.7,-1.3,-16.1,-5.6,2.8,-1.9,-6.9,-16.1,-5.6,2.8,-1.9,-6.9,-9.3,1.3,6.9,5.0,4.5,,11.40,0.31,-5.52,-5.52,1.68,,1,3,4,4,2
Cubchoo,Ice, ,305,55,70,40,60,40,40,5,Lonely,5.7,9.8,3.3,9.8,9.8,-9.8,3.3,-6.6,0.0,0.0,-3.3,6.6,4.9,6.6,6.6,-3.3,6.6,4.9,6.6,6.6,-9.8,0.0,-6.6,0.0,3.3,,7.70,-2.62,4.26,4.26,-2.62,,1,5,2,2,4
Beartic,Ice, ,505,95,130,80,70,80,50,5,Brave,6.4,9.9,11.9,9.9,15.8,-9.9,4.0,2.0,0.0,5.9,-11.9,-2.0,3.5,-2.0,4.0,-11.9,-2.0,3.5,-2.0,4.0,-15.8,-5.9,-4.0,-5.9,2.5,,10.79,0.40,-1.68,-1.68,-5.84,,1,2,3,3,5
Cryogonal,Ice, ,515,80,50,50,95,135,105,5,Timid,2.4,0.0,-8.7,-16.5,-10.7,0.0,2.4,-8.7,-16.5,-10.7,8.7,8.7,4.6,-7.8,-1.9,8.7,8.7,4.6,-7.8,-1.9,10.7,10.7,1.9,-5.8,5.1,,-6.70,-6.70,2.48,2.48,4.51,,4,4,2,2,1
Shelmet,Bug, ,305,50,40,85,40,65,25,5,Relaxed,3.3,-14.8,0.0,-8.2,4.9,14.8,7.0,14.8,6.6,19.7,0.0,-14.8,3.3,-8.2,4.9,0.0,-14.8,3.3,-8.2,4.9,-4.9,-19.7,-4.9,-13.1,2.0,,-2.95,12.54,-2.95,-2.95,-8.11,,2,1,2,2,5
Accelgor,Bug, ,495,80,70,40,100,60,145,5,Hasty,3.5,6.1,-6.1,2.0,-15.2,-6.1,2.0,-12.1,-4.0,-21.2,6.1,12.1,5.1,8.1,-9.1,6.1,12.1,5.1,8.1,-9.1,15.2,21.2,9.1,17.2,7.3,,-1.92,-8.28,4.44,4.44,13.99,,4,5,2,2,1
Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,Relaxed,3.5,-3.8,-3.2,-7.0,7.2,3.8,4.5,0.6,-3.2,11.0,3.2,-0.6,4.3,-3.8,10.4,3.2,-0.6,4.3,-3.8,10.4,-7.2,-11.0,-10.4,-14.2,1.7,,-0.66,3.35,2.69,2.69,-8.24,,4,1,2,2,5
Mienfoo,Fighting, ,350,45,85,50,55,50,65,5,Lonely,6.1,10.0,8.6,10.0,5.7,-10.0,3.6,-1.4,0.0,-4.3,-8.6,1.4,3.9,1.4,-2.9,-8.6,1.4,3.9,1.4,-2.9,-5.7,4.3,2.9,4.3,4.6,,8.07,-2.43,-0.93,-0.93,2.07,,1,5,3,3,2
Mienshao,Fighting, ,510,65,125,60,95,60,105,5,Lonely,6.1,12.7,5.9,12.7,3.9,-12.7,2.9,-6.9,0.0,-8.8,-5.9,6.9,4.7,6.9,-2.0,-5.9,6.9,4.7,6.9,-2.0,-3.9,8.8,2.0,8.8,5.1,,8.28,-5.10,2.11,2.11,4.17,,1,5,3,3,2
Druddigon,Dragon, ,485,77,120,90,60,90,48,5,Brave,6.2,6.2,12.4,6.2,14.8,-6.2,4.6,6.2,0.0,8.7,-12.4,-6.2,3.1,-6.2,2.5,-12.4,-6.2,3.1,-6.2,2.5,-14.8,-8.7,-2.5,-8.7,2.5,,9.15,2.66,-3.84,-3.84,-6.43,,1,2,3,3,5
Golett,Ground,Ghost,303,59,74,50,35,50,35,5,Adamant,6.1,7.9,12.9,7.9,12.9,-7.9,4.1,5.0,0.0,5.0,-12.9,-5.0,2.9,-5.0,0.0,-12.9,-5.0,2.9,-5.0,0.0,-12.9,-5.0,0.0,-5.0,2.9,,9.54,1.22,-3.98,-3.98,-3.98,,1,2,3,3,3
Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,Adamant,6.4,9.1,14.3,9.1,14.3,-9.1,4.1,5.2,0.0,5.2,-14.3,-5.2,2.8,-5.2,0.0,-14.3,-5.2,2.8,-5.2,0.0,-14.3,-5.2,0.0,-5.2,2.8,,10.64,1.08,-4.36,-4.36,-4.36,,1,2,3,3,3
Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,Adamant,6.3,4.4,13.2,13.2,7.4,-4.4,5.1,8.8,8.8,2.9,-13.2,-8.8,2.9,0.0,-5.9,-13.2,-8.8,2.9,0.0,-5.9,-7.4,-2.9,5.9,5.9,4.4,,8.90,4.26,-5.00,-5.00,1.18,,1,2,4,4,3
Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,Adamant,6.4,5.1,13.3,11.2,11.2,-5.1,5.1,8.2,6.1,6.1,-13.3,-8.2,3.1,-2.0,-2.0,-13.3,-8.2,3.1,-2.0,-2.0,-11.2,-6.1,2.0,0.0,3.6,,9.44,4.08,-4.49,-4.49,-2.35,,1,2,4,4,3
Bouffalant,Normal, ,490,95,110,95,40,95,55,5,Adamant,5.6,3.1,14.3,3.1,11.2,-3.1,4.8,11.2,0.0,8.2,-14.3,-11.2,2.0,-11.2,-3.1,-14.3,-11.2,2.0,-11.2,-3.1,-11.2,-8.2,3.1,-8.2,2.8,,7.45,4.23,-7.55,-7.55,-4.34,,1,2,4,4,3
Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,Adamant,5.9,9.4,13.1,9.4,6.6,-9.4,3.6,3.7,0.0,-2.9,-13.1,-3.7,2.6,-3.7,-6.6,-13.1,-3.7,2.6,-3.7,-6.6,-6.6,2.9,6.6,2.9,4.3,,8.90,-1.00,-4.90,-4.90,2.00,,1,3,4,4,2
Braviary,Normal,Flying,510,100,123,75,57,75,80,5,Adamant,6.0,9.4,12.9,9.4,8.4,-9.4,3.7,3.5,0.0,-1.0,-12.9,-3.5,2.8,-3.5,-4.5,-12.9,-3.5,2.8,-3.5,-4.5,-8.4,1.0,4.5,1.0,3.9,,9.25,-0.64,-4.34,-4.34,0.39,,1,3,4,4,2
Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,Impish,3.7,-5.4,2.7,-2.7,-1.4,5.4,5.1,8.1,2.7,4.1,-2.7,-8.1,3.0,-5.4,-4.1,-2.7,-8.1,3.0,-5.4,-4.1,1.4,-4.1,4.1,-1.4,4.1,,-0.61,5.07,-3.45,-3.45,0.81,,3,1,4,4,2
Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,Impish,3.2,-7.8,2.0,-5.9,-2.9,7.8,5.1,9.8,2.0,4.9,-2.0,-9.8,2.7,-7.8,-4.9,-2.0,-9.8,2.7,-7.8,-4.9,2.9,-4.9,4.9,-2.9,3.9,,-2.30,5.93,-4.36,-4.36,0.78,,3,1,4,4,2
Heatmor,Fire, ,484,85,97,66,105,66,65,5,Quiet,5.0,6.4,-1.7,6.4,6.6,-6.4,3.4,-8.1,0.0,0.2,1.7,8.1,5.4,8.1,8.3,1.7,8.1,5.4,8.1,8.3,-6.6,-0.2,-8.3,-0.2,3.4,,4.56,-2.17,6.29,6.29,-2.39,,3,4,1,1,5
Durant,Bug,Steel,484,58,109,112,48,48,109,5,Impish,5.6,-0.6,12.6,12.6,0.0,0.6,5.8,13.2,13.2,0.6,-12.6,-13.2,2.5,0.0,-12.6,-12.6,-13.2,2.5,0.0,-12.6,0.0,-0.6,12.6,12.6,5.6,,6.04,6.69,-7.19,-7.19,6.04,,2,1,4,4,3
Deino,Dark,Dragon,300,52,65,50,45,50,38,5,Brave,5.4,5.0,6.7,5.0,9.0,-5.0,4.2,1.7,0.0,4.0,-6.7,-1.7,3.8,-1.7,2.3,-6.7,-1.7,3.8,-1.7,2.3,-9.0,-4.0,-2.3,-4.0,3.2,,6.22,0.97,-0.78,-0.78,-3.23,,1,2,3,3,5
Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,Brave,5.1,3.6,4.8,3.6,6.4,-3.6,4.2,1.2,0.0,2.9,-4.8,-1.2,3.9,-1.2,1.7,-4.8,-1.2,3.9,-1.2,1.7,-6.4,-2.9,-1.7,-2.9,3.5,,4.68,0.93,-0.32,-0.32,-2.07,,1,2,3,3,5
Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,Mild,4.4,2.5,-3.3,2.5,1.2,-2.5,3.8,-5.8,0.0,-1.3,3.3,5.8,5.2,5.8,4.5,3.3,5.8,5.2,5.8,4.5,-1.2,1.3,-4.5,1.3,4.1,,1.44,-1.18,4.94,4.94,0.22,,3,5,1,1,4
Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,Adamant,5.9,8.3,9.7,8.3,6.9,-8.3,3.8,1.4,0.0,-1.4,-9.7,-1.4,3.5,-1.4,-2.8,-9.7,-1.4,3.5,-1.4,-2.8,-6.9,1.4,2.8,1.4,4.2,,7.85,-0.90,-2.36,-2.36,0.56,,1,3,4,4,2
Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,Modest,2.7,-0.9,-13.6,-8.2,-7.3,0.9,3.0,-12.7,-7.3,-6.4,13.6,12.7,6.1,5.5,6.4,13.6,12.7,6.1,5.5,6.4,7.3,6.4,-6.4,-0.9,4.5,,-5.45,-4.50,8.86,8.86,2.18,,5,4,1,1,3
Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,Lax,3.9,-6.7,0.0,3.1,-3.1,6.7,5.6,6.7,9.8,3.6,0.0,-6.7,3.9,3.1,-3.1,0.0,-6.7,3.9,3.1,-3.1,3.1,-3.6,3.1,6.2,4.7,,-0.57,6.49,-0.57,-0.57,2.69,,3,1,3,3,2
Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,Adamant,5.6,6.7,9.8,6.7,3.6,-6.7,3.9,3.1,0.0,-3.1,-9.8,-3.1,3.1,-3.1,-6.2,-9.8,-3.1,3.1,-3.1,-6.2,-3.6,3.1,6.2,3.1,4.7,,6.49,-0.57,-3.83,-3.83,2.69,,1,3,4,4,2
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,Hasty,3.9,3.1,0.0,-6.7,-3.1,-3.1,3.1,-3.1,-9.8,-6.2,0.0,3.1,3.9,-6.7,-3.1,0.0,3.1,3.9,-6.7,-3.1,3.1,6.2,3.1,-3.6,4.7,,-0.57,-3.83,-0.57,-0.57,2.69,,2,5,2,2,1
Tornadus,Flying, ,580,79,115,70,125,80,111,5,Mild,5.0,7.8,-1.7,6.0,0.7,-7.8,3.0,-9.5,-1.7,-7.1,1.7,9.5,5.4,7.8,2.4,1.7,9.5,5.4,7.8,2.4,-0.7,7.1,-2.4,5.3,4.8,,3.54,-4.60,5.35,5.35,2.82,,3,5,1,1,4
Tornadus,Flying, ,580,79,100,80,110,90,121,5,Hasty,4.3,3.4,-1.7,1.7,-3.6,-3.4,3.4,-5.2,-1.7,-7.1,1.7,5.2,4.7,3.4,-1.9,1.7,5.2,4.7,3.4,-1.9,3.6,7.1,1.9,5.3,5.2,,0.83,-2.79,2.64,2.64,4.63,,4,5,2,2,1
Thundurus,Electric,Flying,580,79,115,70,125,80,111,5,Mild,5.0,7.8,-1.7,6.0,0.7,-7.8,3.0,-9.5,-1.7,-7.1,1.7,9.5,5.4,7.8,2.4,1.7,9.5,5.4,7.8,2.4,-0.7,7.1,-2.4,5.3,4.8,,3.54,-4.60,5.35,5.35,2.82,,3,5,1,1,4
Thundurus,Electric,Flying,580,79,105,70,145,80,101,5,Mild,4.5,6.0,-6.9,4.3,0.7,-6.0,3.0,-12.9,-1.7,-5.3,6.9,12.9,6.3,11.2,7.6,6.9,12.9,6.3,11.2,7.6,-0.7,5.3,-7.6,3.6,4.4,,1.73,-4.60,8.97,8.97,1.01,,3,5,1,1,4
Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,Quiet,4.4,2.9,-4.4,0.0,4.4,-2.9,3.7,-7.4,-2.9,1.5,4.4,7.4,5.5,4.4,8.8,4.4,7.4,5.5,4.4,8.8,-4.4,-1.5,-8.8,-4.4,3.3,,1.47,-1.62,6.10,6.10,-3.16,,3,4,1,1,5
Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,Brave,5.5,4.4,4.4,7.4,8.8,-4.4,4.4,0.0,2.9,4.4,-4.4,0.0,4.4,2.9,4.4,-4.4,0.0,4.4,2.9,4.4,-8.8,-4.4,-4.4,-1.5,3.3,,6.10,1.47,1.47,1.47,-3.16,,1,2,2,2,5
Landorus,Ground,Flying,600,89,125,90,115,80,101,5,Naughty,5.2,5.8,1.7,7.5,4.0,-5.8,3.8,-4.2,1.7,-1.8,-1.7,4.2,4.8,5.8,2.3,-1.7,4.2,4.8,5.8,2.3,-4.0,1.8,-2.3,3.5,4.2,,4.84,-1.28,3.09,3.09,0.64,,1,5,2,2,4
Landorus,Ground,Flying,600,89,145,90,105,80,91,5,Naughty,6.0,9.2,6.7,10.8,9.0,-9.2,3.8,-2.5,1.7,-0.2,-6.7,2.5,4.4,4.2,2.3,-6.7,2.5,4.4,4.2,2.3,-9.0,0.2,-2.3,1.8,3.8,,8.34,-1.28,1.34,1.34,-1.11,,1,5,2,2,4
Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,Lonely,4.9,6.1,0.0,6.1,5.3,-6.1,3.4,-6.1,0.0,-0.8,0.0,6.1,4.9,6.1,5.3,0.0,6.1,4.9,6.1,5.3,-5.3,0.8,-5.3,0.8,3.6,,4.47,-1.89,4.47,4.47,-1.10,,1,5,1,1,4
Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,Mild,4.3,4.3,-7.1,2.9,3.6,-4.3,3.2,-11.4,-1.4,-0.7,7.1,11.4,6.1,10.0,10.7,7.1,11.4,6.1,10.0,10.7,-3.6,0.7,-10.7,-0.7,3.4,,1.57,-2.93,9.07,9.07,-2.18,,3,5,1,1,4
Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,Naughty,6.1,10.0,7.1,11.4,10.7,-10.0,3.6,-2.9,1.4,0.7,-7.1,2.9,4.3,4.3,3.6,-7.1,2.9,4.3,4.3,3.6,-10.7,-0.7,-3.6,0.7,3.4,,9.07,-1.43,1.57,1.57,-2.18,,1,4,2,2,5
Keldeo,Water,Fighting,580,91,72,90,129,90,108,5,Modest,3.1,-3.1,-9.8,-3.1,-6.2,3.1,3.9,-6.7,0.0,-3.1,9.8,6.7,5.6,6.7,3.6,9.8,6.7,5.6,6.7,3.6,6.2,3.1,-3.6,3.1,4.7,,-3.83,-0.57,6.49,6.49,2.69,,5,4,1,1,3
Keldeo,Water,Fighting,580,91,72,90,129,90,108,5,Modest,3.1,-3.1,-9.8,-3.1,-6.2,3.1,3.9,-6.7,0.0,-3.1,9.8,6.7,5.6,6.7,3.6,9.8,6.7,5.6,6.7,3.6,6.2,3.1,-3.6,3.1,4.7,,-3.83,-0.57,6.49,6.49,2.69,,5,4,1,1,3
Meloetta,Normal,Psychic,600,100,77,77,128,128,90,5,Modest,3.2,0.0,-8.5,-8.5,-2.2,0.0,3.2,-8.5,-8.5,-2.2,8.5,8.5,5.3,0.0,6.3,8.5,8.5,5.3,0.0,6.3,2.2,2.2,-6.3,-6.3,3.8,,-3.19,-3.19,5.73,5.73,-0.92,,4,4,1,1,3
Meloetta,Normal,Fighting,600,100,128,90,77,77,128,5,Adamant,5.3,6.3,8.5,8.5,0.0,-6.3,3.8,2.2,2.2,-6.3,-8.5,-2.2,3.2,0.0,-8.5,-8.5,-2.2,3.2,0.0,-8.5,0.0,6.3,8.5,8.5,5.3,,5.73,-0.92,-3.19,-3.19,5.73,,1,3,4,4,1
Genesect,Bug,Steel,600,71,120,95,120,95,99,5,Hardy,5.0,4.2,0.0,4.2,3.5,-4.2,4.0,-4.2,0.0,-0.7,0.0,4.2,5.0,4.2,3.5,0.0,4.2,5.0,4.2,3.5,-3.5,0.7,-3.5,0.7,4.1,,3.37,-1.01,3.37,3.37,-0.31,,1,5,1,1,4
Venusaur,Grass,Poison,625,80,100,123,122,120,80,6,Relaxed,4.0,-3.7,-3.5,-3.2,3.2,3.7,4.9,0.2,0.5,6.9,3.5,-0.2,4.9,0.3,6.7,3.5,-0.2,4.9,0.3,6.7,-3.2,-6.9,-6.7,-6.4,3.2,,-0.64,3.22,3.06,3.06,-4.00,,4,1,2,2,5
Charizard,Fire,Dragon,634,78,130,111,130,85,100,6,Naughty,5.1,3.0,0.0,7.1,4.7,-3.0,4.4,-3.0,4.1,1.7,0.0,3.0,5.1,7.1,4.7,0.0,3.0,5.1,7.1,4.7,-4.7,-1.7,-4.7,2.4,3.9,,3.99,0.84,3.99,3.99,-0.98,,1,4,1,1,5
Charizard,Fire,Flying,634,78,104,78,159,115,100,6,Mild,4.1,4.1,-8.7,-1.7,0.6,-4.1,3.1,-12.8,-5.8,-3.5,8.7,12.8,6.3,6.9,9.3,8.7,12.8,6.3,6.9,9.3,-0.6,3.5,-9.3,-2.4,3.9,,-0.32,-4.62,8.79,8.79,-0.98,,3,5,1,1,4
Blastoise,Water, ,630,79,103,120,135,115,78,6,Quiet,4.1,-2.7,-5.1,-1.9,4.0,2.7,4.8,-2.4,0.8,6.7,5.1,2.4,5.4,3.2,9.0,5.1,2.4,5.4,3.2,9.0,-4.0,-6.7,-9.0,-5.9,3.1,,-0.33,2.51,5.01,5.01,-4.49,,4,3,1,1,5
Beedrill,Bug,Poison,495,65,150,40,15,80,145,6,Adamant,7.6,22.2,27.3,14.1,1.0,-22.2,2.0,5.1,-8.1,-21.2,-27.3,-5.1,0.8,-13.1,-26.3,-27.3,-5.1,0.8,-13.1,-26.3,-1.0,21.2,26.3,13.1,7.3,,14.44,-8.89,-14.19,-14.19,13.38,,1,3,4,4,2
Pidgeot,Normal,Flying,579,83,80,80,135,80,121,6,Modest,3.5,0.0,-9.5,0.0,-7.1,0.0,3.5,-9.5,0.0,-7.1,9.5,9.5,5.8,9.5,2.4,9.5,9.5,5.8,9.5,2.4,7.1,7.1,-2.4,7.1,5.2,,-2.63,-2.63,7.35,7.35,4.81,,4,4,1,1,3
Alakazam,Psychic, ,600,55,50,65,175,105,150,6,Modest,2.1,-2.5,-20.8,-9.2,-16.7,2.5,2.7,-18.3,-6.7,-14.2,20.8,18.3,7.3,11.7,4.2,20.8,18.3,7.3,11.7,4.2,16.7,14.2,-4.2,7.5,6.3,,-9.42,-6.79,12.46,12.46,8.08,,5,4,1,1,3
Slowbro,Water,Psychic,590,95,75,180,130,80,30,6,Relaxed,3.2,-17.8,-9.3,-0.8,7.6,17.8,7.6,8.5,16.9,25.4,9.3,-8.5,5.5,8.5,16.9,9.3,-8.5,5.5,8.5,16.9,-7.6,-25.4,-16.9,-8.5,1.3,,-3.43,15.25,6.36,6.36,-11.44,,4,1,2,2,5
Gengar,Ghost,Poison,600,60,65,80,170,95,130,6,Modest,2.7,-2.5,-17.5,-5.0,-10.8,2.5,3.3,-15.0,-2.5,-8.3,17.5,15.0,7.1,12.5,6.7,17.5,15.0,7.1,12.5,6.7,10.8,8.3,-6.7,5.8,5.4,,-6.63,-4.00,11.75,11.75,4.75,,5,4,1,1,3
Kangaskhan,Normal, ,590,105,125,100,60,100,100,6,Adamant,5.3,4.2,11.0,4.2,4.2,-4.2,4.2,6.8,0.0,0.0,-11.0,-6.8,2.5,-6.8,-6.8,-11.0,-6.8,2.5,-6.8,-6.8,-4.2,0.0,6.8,0.0,4.2,,5.81,1.36,-5.76,-5.76,1.36,,1,2,4,4,2
Pinsir,Bug,Flying,600,65,155,120,65,90,105,6,Adamant,6.5,5.8,15.0,10.8,8.3,-5.8,5.0,9.2,5.0,2.5,-15.0,-9.2,2.7,-4.2,-6.7,-15.0,-9.2,2.7,-4.2,-6.7,-8.3,-2.5,6.7,2.5,4.4,,9.29,3.17,-6.46,-6.46,0.54,,1,2,4,4,3
Gyarados,Water,Dark,640,95,155,109,70,130,81,6,Adamant,6.1,7.2,13.3,3.9,11.6,-7.2,4.3,6.1,-3.3,4.4,-13.3,-6.1,2.7,-9.4,-1.7,-13.3,-6.1,2.7,-9.4,-1.7,-11.6,-4.4,1.7,-7.7,3.2,,8.40,0.85,-5.55,-5.55,-3.74,,1,2,4,4,3
